customerID,tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,InternetService,risk_category
5709-LVOEQ,0,80.85,0.0,Two year,Mailed check,DSL,Low Risk
4075-WKNIU,0,73.35,0.0,Two year,Mailed check,DSL,Low Risk
2775-SEFEE,0,61.9,0.0,Two year,Bank transfer (automatic),DSL,Low Risk
1371-DWPAZ,0,56.05,0.0,Two year,Credit card (automatic),DSL,Low Risk
4472-LVYGI,0,52.55,0.0,Two year,Bank transfer (automatic),DSL,Low Risk
4367-NUYAO,0,25.75,0.0,Two year,Mailed check,No,Low Risk
3213-VVOLG,0,25.35,0.0,Two year,Mailed check,No,Low Risk
3115-CZMZD,0,20.25,0.0,Two year,Mailed check,No,Low Risk
2520-SGTTA,0,20.0,0.0,Two year,Mailed check,No,Low Risk
7644-OMVMY,0,19.85,0.0,Two year,Mailed check,No,Low Risk
2923-ARZLG,0,19.7,0.0,One year,Mailed check,No,Low Risk
1393-IMKZG,1,95.85,95.85,Month-to-month,Electronic check,Fiber optic,High Risk
1941-HOSAM,1,90.1,90.1,Month-to-month,Electronic check,Fiber optic,High Risk
4273-MBHYA,1,89.35,89.35,Month-to-month,Electronic check,Fiber optic,High Risk
7577-SWIFR,1,89.25,89.25,Month-to-month,Electronic check,Fiber optic,High Risk
1628-BIZYP,1,85.0,85.0,Month-to-month,Electronic check,Fiber optic,High Risk
4912-PIGUY,1,84.6,84.6,Month-to-month,Electronic check,Fiber optic,High Risk
2792-LSHWX,1,83.4,83.4,Month-to-month,Mailed check,Fiber optic,Medium Risk
2018-QKYGT,1,81.05,81.05,Month-to-month,Electronic check,Fiber optic,High Risk
7439-DKZTW,1,80.55,80.55,Month-to-month,Electronic check,Fiber optic,High Risk
2254-DLXRI,1,79.15,79.15,Month-to-month,Mailed check,Fiber optic,Medium Risk
5043-TRZWM,1,75.55,75.55,Month-to-month,Electronic check,Fiber optic,High Risk
0817-HSUSE,1,75.5,75.5,Month-to-month,Electronic check,DSL,High Risk
1746-TGTWV,1,75.35,75.35,Month-to-month,Credit card (automatic),Fiber optic,Medium Risk
1452-VOQCH,1,75.1,75.1,Month-to-month,Electronic check,Fiber optic,High Risk
2424-WVHPL,1,74.7,74.7,Month-to-month,Electronic check,Fiber optic,High Risk
1866-OBPNR,1,74.6,74.6,Month-to-month,Credit card (automatic),Fiber optic,Medium Risk
9840-EFJQB,1,74.35,74.35,Month-to-month,Electronic check,Fiber optic,High Risk
2468-SJFLM,1,74.3,74.3,Month-to-month,Mailed check,Fiber optic,Medium Risk
8775-ERLNB,1,74.3,74.3,Month-to-month,Electronic check,Fiber optic,High Risk
8985-OOPOS,1,74.1,74.1,One year,Credit card (automatic),DSL,Low Risk
8687-BAFGU,1,74.0,74.0,Month-to-month,Electronic check,Fiber optic,High Risk
0021-IKXGC,1,72.1,72.1,Month-to-month,Electronic check,Fiber optic,High Risk
3878-AVSOQ,1,71.25,71.25,Month-to-month,Electronic check,Fiber optic,High Risk
8040-MNRTF,1,71.1,71.1,Month-to-month,Mailed check,Fiber optic,Medium Risk
5032-MIYKT,1,70.7,70.7,Month-to-month,Mailed check,Fiber optic,Medium Risk
8309-IEYJD,1,70.6,70.6,Month-to-month,Mailed check,Fiber optic,Medium Risk
9617-INGJY,1,70.6,70.6,Month-to-month,Mailed check,Fiber optic,Medium Risk
2585-KTFRE,1,70.45,70.45,Month-to-month,Bank transfer (automatic),DSL,Medium Risk
7465-ZZRVX,1,70.35,70.35,Month-to-month,Electronic check,Fiber optic,High Risk
1640-PLFMP,1,70.25,70.25,Month-to-month,Electronic check,Fiber optic,High Risk
9605-WGJVW,1,70.2,70.2,Month-to-month,Electronic check,Fiber optic,High Risk
2262-SLNVK,1,70.1,70.1,Month-to-month,Electronic check,Fiber optic,High Risk
9603-OAIHC,1,70.05,70.05,Month-to-month,Electronic check,Fiber optic,High Risk
2920-RNCEZ,1,69.95,69.95,Month-to-month,Credit card (automatic),Fiber optic,Medium Risk
5542-TBBWB,1,69.9,69.9,Month-to-month,Electronic check,Fiber optic,High Risk
6260-ONULR,1,62.8,62.8,Month-to-month,Mailed check,DSL,Medium Risk
1928-BXYIV,1,61.15,61.15,Month-to-month,Electronic check,DSL,High Risk
2853-CWQFQ,1,59.55,59.55,Month-to-month,Mailed check,DSL,Medium Risk
2043-WVTQJ,1,55.7,55.7,Month-to-month,Mailed check,DSL,Medium Risk
4727-MCYZG,1,55.55,55.55,Month-to-month,Mailed check,DSL,Medium Risk
9822-OAOVB,1,55.45,55.45,Month-to-month,Electronic check,DSL,High Risk
3518-PZXZQ,1,55.3,55.3,Month-to-month,Mailed check,DSL,Medium Risk
5501-TVMGM,1,55.25,55.25,Month-to-month,Electronic check,DSL,High Risk
3577-AMVUX,1,55.05,55.05,Month-to-month,Mailed check,DSL,Medium Risk
0674-EYYZV,1,54.65,54.65,Month-to-month,Electronic check,DSL,High Risk
7246-ZGQDF,1,54.5,54.5,Month-to-month,Electronic check,DSL,High Risk
6907-FLBER,1,54.3,54.3,Month-to-month,Electronic check,DSL,High Risk
9108-EJFJP,1,53.55,53.55,Month-to-month,Mailed check,DSL,Medium Risk
8695-WDYEA,1,51.25,51.25,Month-to-month,Mailed check,DSL,Medium Risk
9537-VHDTA,1,51.2,51.2,Month-to-month,Mailed check,DSL,Medium Risk
2103-ZRXFN,1,50.75,50.75,Month-to-month,Mailed check,DSL,Medium Risk
7794-JASDG,1,50.75,50.75,Month-to-month,Mailed check,DSL,Medium Risk
6888-SBYAI,1,50.7,50.7,Month-to-month,Mailed check,DSL,Medium Risk
1845-ZLLIG,1,50.15,50.15,Month-to-month,Mailed check,DSL,Medium Risk
2740-TVLFN,1,50.15,50.15,Month-to-month,Electronic check,DSL,High Risk
0374-AACSZ,1,50.15,50.15,Month-to-month,Electronic check,DSL,High Risk
0248-IPDFW,1,50.1,50.1,Month-to-month,Electronic check,DSL,High Risk
8445-DNBAE,1,50.05,50.05,Month-to-month,Electronic check,DSL,High Risk
1471-GIQKQ,1,49.95,49.95,Month-to-month,Electronic check,DSL,High Risk
1536-HBSWP,1,49.9,49.9,Month-to-month,Electronic check,DSL,High Risk
1406-PUQVY,1,49.9,49.9,Month-to-month,Electronic check,DSL,High Risk
